,Agency,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,@BBCWorld,0.0,Tue Oct 02 02:30:05 +0000 2018,1.0,0.0,0.0,2
1,@BBCWorld,0.0,Mon Oct 01 23:56:42 +0000 2018,1.0,0.0,0.0,3
2,@BBCWorld,-0.6249,Mon Oct 01 23:14:48 +0000 2018,0.661,0.339,0.0,4
3,@BBCWorld,-0.5423,Mon Oct 01 21:48:40 +0000 2018,0.632,0.368,0.0,5
4,@BBCWorld,-0.3182,Mon Oct 01 21:37:12 +0000 2018,0.685,0.315,0.0,6
5,@BBCWorld,0.0,Mon Oct 01 21:33:25 +0000 2018,1.0,0.0,0.0,7
6,@BBCWorld,0.0,Mon Oct 01 19:45:07 +0000 2018,1.0,0.0,0.0,8
7,@BBCWorld,-0.6908,Mon Oct 01 19:31:39 +0000 2018,0.701,0.299,0.0,9
8,@BBCWorld,-0.802,Mon Oct 01 18:57:30 +0000 2018,0.745,0.255,0.0,10
9,@BBCWorld,0.4588,Mon Oct 01 18:35:49 +0000 2018,0.87,0.0,0.13,11
10,@BBCWorld,0.0,Mon Oct 01 17:43:13 +0000 2018,1.0,0.0,0.0,12
11,@BBCWorld,-0.2263,Mon Oct 01 17:23:33 +0000 2018,0.826,0.174,0.0,13
12,@BBCWorld,0.4019,Mon Oct 01 17:00:29 +0000 2018,0.769,0.0,0.231,14
13,@BBCWorld,0.1027,Mon Oct 01 16:55:11 +0000 2018,0.805,0.089,0.106,15
14,@BBCWorld,0.0,Mon Oct 01 16:53:31 +0000 2018,1.0,0.0,0.0,16
15,@BBCWorld,0.0,Mon Oct 01 16:46:47 +0000 2018,1.0,0.0,0.0,17
16,@BBCWorld,-0.4767,Mon Oct 01 16:46:37 +0000 2018,0.693,0.307,0.0,18
17,@BBCWorld,-0.296,Mon Oct 01 16:45:05 +0000 2018,0.804,0.196,0.0,19
18,@BBCWorld,-0.2732,Mon Oct 01 16:15:48 +0000 2018,0.877,0.123,0.0,20
19,@BBCWorld,0.4404,Mon Oct 01 15:53:09 +0000 2018,0.868,0.0,0.132,21
20,@BBCWorld,-0.5423,Mon Oct 01 15:47:56 +0000 2018,0.72,0.28,0.0,22
21,@BBCWorld,-0.128,Mon Oct 01 15:43:14 +0000 2018,0.645,0.204,0.151,23
22,@BBCWorld,-0.4404,Mon Oct 01 15:40:36 +0000 2018,0.791,0.209,0.0,24
23,@BBCWorld,-0.3818,Mon Oct 01 15:19:51 +0000 2018,0.755,0.245,0.0,25
24,@BBCWorld,0.0516,Mon Oct 01 14:51:28 +0000 2018,0.556,0.214,0.23,26
25,@BBCWorld,0.3818,Mon Oct 01 14:22:52 +0000 2018,0.88,0.0,0.12,27
26,@BBCWorld,-0.5719,Mon Oct 01 14:08:15 +0000 2018,0.844,0.156,0.0,28
27,@BBCWorld,0.0,Mon Oct 01 13:22:15 +0000 2018,1.0,0.0,0.0,29
28,@BBCWorld,0.4215,Mon Oct 01 12:54:46 +0000 2018,0.781,0.0,0.219,30
29,@BBCWorld,-0.743,Mon Oct 01 12:43:18 +0000 2018,0.559,0.441,0.0,31
30,@BBCWorld,-0.5574,Mon Oct 01 12:21:47 +0000 2018,0.847,0.153,0.0,32
31,@BBCWorld,0.0,Mon Oct 01 11:53:57 +0000 2018,1.0,0.0,0.0,33
32,@BBCWorld,0.7964,Mon Oct 01 11:47:10 +0000 2018,0.728,0.0,0.272,34
33,@BBCWorld,-0.4019,Mon Oct 01 11:46:26 +0000 2018,0.684,0.316,0.0,35
34,@BBCWorld,0.0,Mon Oct 01 11:45:30 +0000 2018,1.0,0.0,0.0,36
35,@BBCWorld,-0.4939,Mon Oct 01 11:39:04 +0000 2018,0.738,0.262,0.0,37
36,@BBCWorld,0.0,Mon Oct 01 10:45:49 +0000 2018,1.0,0.0,0.0,38
37,@BBCWorld,0.0772,Mon Oct 01 10:30:52 +0000 2018,0.925,0.0,0.075,39
38,@BBCWorld,0.0,Mon Oct 01 09:54:40 +0000 2018,1.0,0.0,0.0,40
39,@BBCWorld,-0.7906,Mon Oct 01 09:50:53 +0000 2018,0.5,0.5,0.0,41
40,@BBCWorld,0.0,Mon Oct 01 09:28:55 +0000 2018,1.0,0.0,0.0,42
41,@BBCWorld,-0.7845,Mon Oct 01 09:17:12 +0000 2018,0.537,0.463,0.0,43
42,@BBCWorld,0.0,Mon Oct 01 09:13:08 +0000 2018,1.0,0.0,0.0,44
43,@BBCWorld,-0.5106,Mon Oct 01 08:50:50 +0000 2018,0.732,0.268,0.0,45
44,@BBCWorld,-0.3182,Mon Oct 01 08:47:03 +0000 2018,0.874,0.126,0.0,46
45,@BBCWorld,0.0,Mon Oct 01 06:55:23 +0000 2018,1.0,0.0,0.0,47
46,@BBCWorld,0.4404,Mon Oct 01 06:35:56 +0000 2018,0.855,0.0,0.145,48
47,@BBCWorld,-0.6808,Mon Oct 01 04:38:08 +0000 2018,0.641,0.359,0.0,49
48,@BBCWorld,-0.25,Mon Oct 01 04:14:14 +0000 2018,0.8,0.2,0.0,50
49,@BBCWorld,0.6705,Mon Oct 01 02:49:22 +0000 2018,0.593,0.0,0.407,51
50,@BBCWorld,-0.4215,Mon Oct 01 01:51:55 +0000 2018,0.741,0.259,0.0,52
51,@BBCWorld,0.0,Mon Oct 01 00:04:15 +0000 2018,1.0,0.0,0.0,53
52,@BBCWorld,-0.3182,Sun Sep 30 23:59:36 +0000 2018,0.753,0.247,0.0,54
53,@BBCWorld,-0.765,Sun Sep 30 21:15:19 +0000 2018,0.515,0.485,0.0,55
54,@BBCWorld,0.4215,Sun Sep 30 19:40:32 +0000 2018,0.714,0.0,0.286,56
55,@BBCWorld,0.0,Sun Sep 30 19:24:30 +0000 2018,1.0,0.0,0.0,57
56,@BBCWorld,0.0,Sun Sep 30 17:20:23 +0000 2018,1.0,0.0,0.0,58
57,@BBCWorld,0.0,Sun Sep 30 17:08:38 +0000 2018,1.0,0.0,0.0,59
58,@BBCWorld,-0.7096,Sun Sep 30 16:53:43 +0000 2018,0.504,0.496,0.0,60
59,@BBCWorld,0.0,Sun Sep 30 15:49:06 +0000 2018,1.0,0.0,0.0,61
60,@BBCWorld,0.628,Sun Sep 30 15:02:58 +0000 2018,0.727,0.0,0.273,62
61,@BBCWorld,-0.891,Sun Sep 30 13:17:30 +0000 2018,0.361,0.639,0.0,63
62,@BBCWorld,-0.4588,Sun Sep 30 12:34:41 +0000 2018,0.633,0.247,0.12,64
63,@BBCWorld,0.0,Sun Sep 30 12:33:52 +0000 2018,1.0,0.0,0.0,65
64,@BBCWorld,0.4019,Sun Sep 30 12:20:17 +0000 2018,0.748,0.0,0.252,66
65,@BBCWorld,-0.34,Sun Sep 30 10:57:32 +0000 2018,0.876,0.124,0.0,67
66,@BBCWorld,-0.4404,Sun Sep 30 10:52:50 +0000 2018,0.707,0.293,0.0,68
67,@BBCWorld,-0.743,Sun Sep 30 10:28:31 +0000 2018,0.76,0.24,0.0,69
68,@BBCWorld,0.5994,Sun Sep 30 09:17:43 +0000 2018,0.822,0.0,0.178,70
69,@BBCWorld,0.0,Sun Sep 30 08:39:12 +0000 2018,1.0,0.0,0.0,71
70,@BBCWorld,-0.5994,Sun Sep 30 06:52:54 +0000 2018,0.642,0.358,0.0,72
71,@BBCWorld,-0.2263,Sun Sep 30 05:18:22 +0000 2018,0.808,0.192,0.0,73
72,@BBCWorld,0.0,Sun Sep 30 04:16:37 +0000 2018,1.0,0.0,0.0,74
73,@BBCWorld,-0.6249,Sun Sep 30 00:56:22 +0000 2018,0.631,0.369,0.0,75
74,@BBCWorld,-0.6369,Sun Sep 30 00:52:49 +0000 2018,0.656,0.344,0.0,76
75,@BBCWorld,0.0,Sun Sep 30 00:49:07 +0000 2018,1.0,0.0,0.0,77
76,@BBCWorld,0.0,Sun Sep 30 00:12:47 +0000 2018,1.0,0.0,0.0,78
77,@BBCWorld,0.0,Sat Sep 29 23:21:42 +0000 2018,1.0,0.0,0.0,79
78,@BBCWorld,0.0,Sat Sep 29 22:54:42 +0000 2018,1.0,0.0,0.0,80
79,@BBCWorld,-0.7184,Sat Sep 29 22:39:25 +0000 2018,0.571,0.429,0.0,81
80,@BBCWorld,-0.7506,Sat Sep 29 18:38:49 +0000 2018,0.316,0.511,0.174,82
81,@BBCWorld,0.0,Sat Sep 29 18:15:24 +0000 2018,1.0,0.0,0.0,83
82,@BBCWorld,0.0,Sat Sep 29 16:25:59 +0000 2018,1.0,0.0,0.0,84
83,@BBCWorld,-0.6249,Sat Sep 29 15:42:15 +0000 2018,0.661,0.339,0.0,85
84,@BBCWorld,-0.6486,Sat Sep 29 15:17:04 +0000 2018,0.815,0.185,0.0,86
85,@BBCWorld,-0.4404,Sat Sep 29 14:13:33 +0000 2018,0.583,0.301,0.117,87
86,@BBCWorld,0.0,Sat Sep 29 11:55:30 +0000 2018,1.0,0.0,0.0,88
87,@BBCWorld,0.0,Sat Sep 29 11:40:46 +0000 2018,1.0,0.0,0.0,89
88,@BBCWorld,0.0,Sat Sep 29 10:52:14 +0000 2018,1.0,0.0,0.0,90
89,@BBCWorld,0.0,Sat Sep 29 10:43:06 +0000 2018,1.0,0.0,0.0,91
90,@BBCWorld,-0.4215,Sat Sep 29 09:20:11 +0000 2018,0.682,0.318,0.0,92
91,@BBCWorld,-0.8402,Sat Sep 29 09:14:52 +0000 2018,0.655,0.345,0.0,93
92,@BBCWorld,-0.5719,Sat Sep 29 08:47:49 +0000 2018,0.684,0.316,0.0,94
93,@BBCWorld,-0.5574,Sat Sep 29 07:33:59 +0000 2018,0.847,0.153,0.0,95
94,@BBCWorld,0.4939,Sat Sep 29 07:08:24 +0000 2018,0.758,0.0,0.242,96
95,@BBCWorld,-0.6369,Sat Sep 29 01:11:32 +0000 2018,0.403,0.468,0.129,97
96,@BBCWorld,-0.1007,Sat Sep 29 00:15:41 +0000 2018,0.589,0.22,0.191,98
97,@BBCWorld,-0.296,Sat Sep 29 00:01:54 +0000 2018,0.804,0.196,0.0,99
98,@BBCWorld,-0.128,Fri Sep 28 23:58:06 +0000 2018,0.842,0.158,0.0,100
99,@BBCWorld,-0.4215,Fri Sep 28 23:39:21 +0000 2018,0.703,0.297,0.0,101
100,@CBSNews,-0.5106,Tue Oct 02 02:19:31 +0000 2018,0.809,0.191,0.0,2
101,@CBSNews,-0.0258,Tue Oct 02 02:00:32 +0000 2018,0.703,0.151,0.146,3
102,@CBSNews,0.0,Tue Oct 02 01:39:41 +0000 2018,1.0,0.0,0.0,4
103,@CBSNews,-0.7003,Tue Oct 02 01:19:43 +0000 2018,0.73,0.27,0.0,5
104,@CBSNews,-0.5267,Tue Oct 02 01:00:01 +0000 2018,0.793,0.207,0.0,6
105,@CBSNews,-0.5994,Tue Oct 02 00:39:47 +0000 2018,0.782,0.218,0.0,7
106,@CBSNews,0.0,Tue Oct 02 00:19:54 +0000 2018,1.0,0.0,0.0,8
107,@CBSNews,0.0,Tue Oct 02 00:15:05 +0000 2018,1.0,0.0,0.0,9
108,@CBSNews,0.0,Mon Oct 01 23:59:54 +0000 2018,1.0,0.0,0.0,10
109,@CBSNews,0.296,Mon Oct 01 23:58:06 +0000 2018,0.885,0.0,0.115,11
110,@CBSNews,-0.5267,Mon Oct 01 23:40:24 +0000 2018,0.804,0.196,0.0,12
111,@CBSNews,-0.5267,Mon Oct 01 23:19:29 +0000 2018,0.805,0.195,0.0,13
112,@CBSNews,0.0,Mon Oct 01 23:13:01 +0000 2018,1.0,0.0,0.0,14
113,@CBSNews,0.128,Mon Oct 01 22:57:47 +0000 2018,0.565,0.208,0.226,15
114,@CBSNews,-0.8074,Mon Oct 01 22:45:30 +0000 2018,0.657,0.343,0.0,16
115,@CBSNews,0.4939,Mon Oct 01 22:40:08 +0000 2018,0.882,0.0,0.118,17
116,@CBSNews,0.8074,Mon Oct 01 22:31:36 +0000 2018,0.696,0.0,0.304,18
117,@CBSNews,0.0,Mon Oct 01 22:26:41 +0000 2018,1.0,0.0,0.0,19
118,@CBSNews,-0.8494,Mon Oct 01 22:14:49 +0000 2018,0.646,0.354,0.0,20
119,@CBSNews,0.0,Mon Oct 01 22:12:39 +0000 2018,1.0,0.0,0.0,21
120,@CBSNews,0.8038,Mon Oct 01 21:55:01 +0000 2018,0.675,0.0,0.325,22
121,@CBSNews,0.2878,Mon Oct 01 21:34:35 +0000 2018,0.741,0.101,0.158,23
122,@CBSNews,0.2023,Mon Oct 01 21:15:11 +0000 2018,0.765,0.097,0.138,24
123,@CBSNews,0.0,Mon Oct 01 20:00:19 +0000 2018,1.0,0.0,0.0,25
124,@CBSNews,0.0,Mon Oct 01 19:54:35 +0000 2018,1.0,0.0,0.0,26
125,@CBSNews,-0.25,Mon Oct 01 19:47:51 +0000 2018,0.905,0.095,0.0,27
126,@CBSNews,-0.2732,Mon Oct 01 19:39:45 +0000 2018,0.811,0.189,0.0,28
127,@CBSNews,-0.8625,Mon Oct 01 19:16:22 +0000 2018,0.61,0.39,0.0,29
128,@CBSNews,-0.6705,Mon Oct 01 19:09:55 +0000 2018,0.593,0.407,0.0,30
129,@CBSNews,0.0,Mon Oct 01 18:54:40 +0000 2018,1.0,0.0,0.0,31
130,@CBSNews,-0.4526,Mon Oct 01 18:46:05 +0000 2018,0.835,0.165,0.0,32
131,@CBSNews,0.34,Mon Oct 01 18:40:36 +0000 2018,0.862,0.0,0.138,33
132,@CBSNews,0.0,Mon Oct 01 18:39:59 +0000 2018,1.0,0.0,0.0,34
133,@CBSNews,0.0,Mon Oct 01 18:25:11 +0000 2018,1.0,0.0,0.0,35
134,@CBSNews,0.7906,Mon Oct 01 18:17:08 +0000 2018,0.708,0.0,0.292,36
135,@CBSNews,-0.2263,Mon Oct 01 18:17:05 +0000 2018,0.913,0.087,0.0,37
136,@CBSNews,-0.6435,Mon Oct 01 18:14:05 +0000 2018,0.792,0.208,0.0,38
137,@CBSNews,-0.4019,Mon Oct 01 18:10:02 +0000 2018,0.863,0.137,0.0,39
138,@CBSNews,-0.3182,Mon Oct 01 18:09:28 +0000 2018,0.901,0.099,0.0,40
139,@CBSNews,0.0,Mon Oct 01 17:54:36 +0000 2018,1.0,0.0,0.0,41
140,@CBSNews,-0.3818,Mon Oct 01 17:40:02 +0000 2018,0.874,0.126,0.0,42
141,@CBSNews,-0.296,Mon Oct 01 17:14:58 +0000 2018,0.864,0.136,0.0,43
142,@CBSNews,-0.8591,Mon Oct 01 16:39:49 +0000 2018,0.457,0.543,0.0,44
143,@CBSNews,-0.3182,Mon Oct 01 16:39:07 +0000 2018,0.887,0.113,0.0,45
144,@CBSNews,0.0,Mon Oct 01 16:32:22 +0000 2018,1.0,0.0,0.0,46
145,@CBSNews,0.7096,Mon Oct 01 16:30:38 +0000 2018,0.781,0.0,0.219,47
146,@CBSNews,-0.5423,Mon Oct 01 16:28:41 +0000 2018,0.851,0.149,0.0,48
147,@CBSNews,0.5719,Mon Oct 01 16:26:43 +0000 2018,0.81,0.0,0.19,49
148,@CBSNews,-0.2617,Mon Oct 01 16:25:37 +0000 2018,0.911,0.089,0.0,50
149,@CBSNews,-0.0772,Mon Oct 01 16:25:07 +0000 2018,0.648,0.162,0.19,51
150,@CBSNews,0.2648,Mon Oct 01 16:23:38 +0000 2018,0.902,0.0,0.098,52
151,@CBSNews,0.0387,Mon Oct 01 16:22:28 +0000 2018,0.946,0.0,0.054,53
152,@CBSNews,0.0772,Mon Oct 01 16:20:28 +0000 2018,0.925,0.0,0.075,54
153,@CBSNews,-0.1531,Mon Oct 01 16:19:17 +0000 2018,0.804,0.108,0.087,55
154,@CBSNews,0.0,Mon Oct 01 16:17:37 +0000 2018,1.0,0.0,0.0,56
155,@CBSNews,-0.2023,Mon Oct 01 16:09:55 +0000 2018,0.886,0.114,0.0,57
156,@CBSNews,-0.4019,Mon Oct 01 16:08:40 +0000 2018,0.863,0.137,0.0,58
157,@CBSNews,-0.2263,Mon Oct 01 16:07:59 +0000 2018,0.623,0.242,0.136,59
158,@CBSNews,-0.128,Mon Oct 01 15:54:30 +0000 2018,0.889,0.111,0.0,60
159,@CBSNews,-0.6705,Mon Oct 01 15:46:03 +0000 2018,0.738,0.214,0.048,61
160,@CBSNews,0.0,Mon Oct 01 15:43:43 +0000 2018,1.0,0.0,0.0,62
161,@CBSNews,-0.3818,Mon Oct 01 15:39:36 +0000 2018,0.809,0.191,0.0,63
162,@CBSNews,0.743,Mon Oct 01 15:39:31 +0000 2018,0.76,0.0,0.24,64
163,@CBSNews,0.4404,Mon Oct 01 15:36:50 +0000 2018,0.813,0.0,0.187,65
164,@CBSNews,-0.1779,Mon Oct 01 15:30:17 +0000 2018,0.922,0.078,0.0,66
165,@CBSNews,0.4939,Mon Oct 01 15:24:05 +0000 2018,0.842,0.0,0.158,67
166,@CBSNews,0.0,Mon Oct 01 15:19:42 +0000 2018,1.0,0.0,0.0,68
167,@CBSNews,0.1531,Mon Oct 01 15:01:23 +0000 2018,0.739,0.117,0.143,69
168,@CBSNews,-0.5106,Mon Oct 01 14:46:02 +0000 2018,0.852,0.148,0.0,70
169,@CBSNews,-0.4767,Mon Oct 01 14:33:22 +0000 2018,0.866,0.134,0.0,71
170,@CBSNews,-0.8158,Mon Oct 01 14:15:46 +0000 2018,0.707,0.293,0.0,72
171,@CBSNews,0.0,Mon Oct 01 14:01:17 +0000 2018,1.0,0.0,0.0,73
172,@CBSNews,0.4215,Mon Oct 01 13:50:35 +0000 2018,0.859,0.0,0.141,74
173,@CBSNews,0.0,Mon Oct 01 13:34:36 +0000 2018,1.0,0.0,0.0,75
174,@CBSNews,0.4404,Mon Oct 01 13:20:46 +0000 2018,0.843,0.0,0.157,76
175,@CBSNews,0.0,Mon Oct 01 13:04:50 +0000 2018,1.0,0.0,0.0,77
176,@CBSNews,0.0,Mon Oct 01 12:54:14 +0000 2018,1.0,0.0,0.0,78
177,@CBSNews,0.4404,Mon Oct 01 12:53:49 +0000 2018,0.888,0.0,0.112,79
178,@CBSNews,0.34,Mon Oct 01 12:50:42 +0000 2018,0.746,0.096,0.158,80
179,@CBSNews,0.0,Mon Oct 01 12:35:01 +0000 2018,1.0,0.0,0.0,81
180,@CBSNews,-0.34,Mon Oct 01 12:29:26 +0000 2018,0.882,0.118,0.0,82
181,@CBSNews,-0.4019,Mon Oct 01 12:24:56 +0000 2018,0.863,0.137,0.0,83
182,@CBSNews,-0.2023,Mon Oct 01 12:20:51 +0000 2018,0.714,0.165,0.121,84
183,@CBSNews,-0.2911,Mon Oct 01 12:10:31 +0000 2018,0.731,0.175,0.095,85
184,@CBSNews,-0.3182,Mon Oct 01 12:10:31 +0000 2018,0.892,0.108,0.0,86
185,@CBSNews,-0.1779,Mon Oct 01 12:00:32 +0000 2018,0.909,0.091,0.0,87
186,@CBSNews,0.0,Mon Oct 01 11:52:32 +0000 2018,1.0,0.0,0.0,88
187,@CBSNews,0.0,Mon Oct 01 11:45:00 +0000 2018,1.0,0.0,0.0,89
188,@CBSNews,0.3182,Mon Oct 01 11:41:00 +0000 2018,0.772,0.089,0.139,90
189,@CBSNews,0.0258,Mon Oct 01 11:36:11 +0000 2018,0.755,0.121,0.125,91
190,@CBSNews,0.5994,Mon Oct 01 11:33:22 +0000 2018,0.803,0.0,0.197,92
191,@CBSNews,-0.0966,Mon Oct 01 11:27:17 +0000 2018,0.636,0.211,0.153,93
192,@CBSNews,-0.8225,Mon Oct 01 11:26:47 +0000 2018,0.468,0.363,0.17,94
193,@CBSNews,0.0,Mon Oct 01 11:26:44 +0000 2018,1.0,0.0,0.0,95
194,@CBSNews,0.0,Mon Oct 01 11:26:44 +0000 2018,1.0,0.0,0.0,96
195,@CBSNews,-0.5267,Mon Oct 01 11:12:17 +0000 2018,0.793,0.207,0.0,97
196,@CBSNews,0.0,Mon Oct 01 10:51:32 +0000 2018,1.0,0.0,0.0,98
197,@CBSNews,0.25,Mon Oct 01 10:42:58 +0000 2018,0.563,0.183,0.254,99
198,@CBSNews,-0.802,Mon Oct 01 10:24:54 +0000 2018,0.625,0.375,0.0,100
199,@CBSNews,-0.4588,Mon Oct 01 10:03:03 +0000 2018,0.602,0.259,0.139,101
200,@CNN,0.2382,Tue Oct 02 02:31:04 +0000 2018,0.866,0.0,0.134,2
201,@CNN,0.5574,Tue Oct 02 02:16:08 +0000 2018,0.859,0.0,0.141,3
202,@CNN,-0.1027,Tue Oct 02 02:11:04 +0000 2018,0.793,0.116,0.091,4
203,@CNN,0.0,Tue Oct 02 02:06:04 +0000 2018,1.0,0.0,0.0,5
204,@CNN,0.7964,Tue Oct 02 02:01:00 +0000 2018,0.717,0.0,0.283,6
205,@CNN,0.0,Tue Oct 02 01:59:35 +0000 2018,0.777,0.112,0.112,7
206,@CNN,0.0,Tue Oct 02 01:46:00 +0000 2018,1.0,0.0,0.0,8
207,@CNN,-0.1695,Tue Oct 02 01:41:47 +0000 2018,0.923,0.077,0.0,9
208,@CNN,0.0,Tue Oct 02 01:31:00 +0000 2018,1.0,0.0,0.0,10
209,@CNN,0.5574,Tue Oct 02 01:25:49 +0000 2018,0.847,0.0,0.153,11
210,@CNN,-0.5719,Tue Oct 02 01:21:04 +0000 2018,0.783,0.217,0.0,12
211,@CNN,-0.4404,Tue Oct 02 01:20:23 +0000 2018,0.818,0.128,0.054,13
212,@CNN,0.5574,Tue Oct 02 01:16:05 +0000 2018,0.783,0.0,0.217,14
213,@CNN,-0.7351,Tue Oct 02 01:01:06 +0000 2018,0.659,0.341,0.0,15
214,@CNN,0.1779,Tue Oct 02 00:52:03 +0000 2018,0.756,0.107,0.138,16
215,@CNN,0.3773,Tue Oct 02 00:51:04 +0000 2018,0.825,0.053,0.122,17
216,@CNN,0.3612,Tue Oct 02 00:49:32 +0000 2018,0.872,0.0,0.128,18
217,@CNN,0.0,Tue Oct 02 00:49:07 +0000 2018,1.0,0.0,0.0,19
218,@CNN,-0.3818,Tue Oct 02 00:46:03 +0000 2018,0.76,0.132,0.108,20
219,@CNN,0.5574,Tue Oct 02 00:38:20 +0000 2018,0.833,0.0,0.167,21
220,@CNN,0.0,Tue Oct 02 00:35:46 +0000 2018,1.0,0.0,0.0,22
221,@CNN,0.5267,Tue Oct 02 00:31:00 +0000 2018,0.794,0.0,0.206,23
222,@CNN,0.0,Tue Oct 02 00:22:07 +0000 2018,1.0,0.0,0.0,24
223,@CNN,0.0772,Tue Oct 02 00:16:02 +0000 2018,0.695,0.127,0.178,25
224,@CNN,0.0441,Tue Oct 02 00:08:04 +0000 2018,0.713,0.14,0.147,26
225,@CNN,-0.5574,Tue Oct 02 00:01:06 +0000 2018,0.816,0.184,0.0,27
226,@CNN,0.1779,Mon Oct 01 23:51:08 +0000 2018,0.711,0.129,0.16,28
227,@CNN,0.0,Mon Oct 01 23:41:03 +0000 2018,1.0,0.0,0.0,29
228,@CNN,0.3167,Mon Oct 01 23:37:56 +0000 2018,0.892,0.0,0.108,30
229,@CNN,0.7783,Mon Oct 01 23:31:08 +0000 2018,0.657,0.0,0.343,31
230,@CNN,0.6369,Mon Oct 01 23:28:02 +0000 2018,0.846,0.0,0.154,32
231,@CNN,-0.3182,Mon Oct 01 23:21:04 +0000 2018,0.897,0.103,0.0,33
232,@CNN,-0.128,Mon Oct 01 23:16:50 +0000 2018,0.787,0.116,0.097,34
233,@CNN,0.0,Mon Oct 01 23:15:17 +0000 2018,1.0,0.0,0.0,35
234,@CNN,0.4215,Mon Oct 01 23:11:04 +0000 2018,0.671,0.11,0.22,36
235,@CNN,0.5574,Mon Oct 01 23:06:01 +0000 2018,0.841,0.0,0.159,37
236,@CNN,0.7906,Mon Oct 01 23:01:06 +0000 2018,0.72,0.0,0.28,38
237,@CNN,0.0,Mon Oct 01 22:56:03 +0000 2018,1.0,0.0,0.0,39
238,@CNN,-0.8342,Mon Oct 01 22:51:06 +0000 2018,0.67,0.33,0.0,40
239,@CNN,-0.34,Mon Oct 01 22:41:05 +0000 2018,0.844,0.156,0.0,41
240,@CNN,0.7579,Mon Oct 01 22:31:07 +0000 2018,0.694,0.0,0.306,42
241,@CNN,0.0,Mon Oct 01 22:25:07 +0000 2018,1.0,0.0,0.0,43
242,@CNN,0.3182,Mon Oct 01 22:21:05 +0000 2018,0.897,0.0,0.103,44
243,@CNN,0.0,Mon Oct 01 22:11:06 +0000 2018,1.0,0.0,0.0,45
244,@CNN,0.0,Mon Oct 01 22:04:58 +0000 2018,1.0,0.0,0.0,46
245,@CNN,0.4215,Mon Oct 01 22:01:05 +0000 2018,0.779,0.074,0.148,47
246,@CNN,0.0,Mon Oct 01 21:59:24 +0000 2018,1.0,0.0,0.0,48
247,@CNN,0.7964,Mon Oct 01 21:56:00 +0000 2018,0.717,0.0,0.283,49
248,@CNN,0.0258,Mon Oct 01 21:51:02 +0000 2018,0.932,0.0,0.068,50
249,@CNN,0.0,Mon Oct 01 21:46:00 +0000 2018,1.0,0.0,0.0,51
250,@CNN,0.2732,Mon Oct 01 21:41:04 +0000 2018,0.896,0.0,0.104,52
251,@CNN,0.4939,Mon Oct 01 21:36:00 +0000 2018,0.842,0.0,0.158,53
252,@CNN,-0.7579,Mon Oct 01 21:31:05 +0000 2018,0.698,0.302,0.0,54
253,@CNN,0.0,Mon Oct 01 21:22:30 +0000 2018,1.0,0.0,0.0,55
254,@CNN,0.0,Mon Oct 01 21:20:08 +0000 2018,1.0,0.0,0.0,56
255,@CNN,0.0,Mon Oct 01 21:16:32 +0000 2018,1.0,0.0,0.0,57
256,@CNN,-0.4019,Mon Oct 01 21:10:09 +0000 2018,0.669,0.18,0.151,58
257,@CNN,0.2732,Mon Oct 01 21:00:11 +0000 2018,0.774,0.077,0.148,59
258,@CNN,-0.6249,Mon Oct 01 20:50:06 +0000 2018,0.788,0.212,0.0,60
259,@CNN,0.2023,Mon Oct 01 20:47:31 +0000 2018,0.917,0.0,0.083,61
260,@CNN,-0.3182,Mon Oct 01 20:42:47 +0000 2018,0.887,0.113,0.0,62
261,@CNN,0.3182,Mon Oct 01 20:40:08 +0000 2018,0.722,0.095,0.183,63
262,@CNN,-0.4019,Mon Oct 01 20:30:09 +0000 2018,0.876,0.124,0.0,64
